models,delta,spacing,onvg,hypervolume,c_1.6.2.0.0.1_0.5,c_1.6.2.0.1.1_0.6,c_1.6.2.0.2.1_0.7,c_1.6.2.0.3.1_0.8,c_1.6.2.0.4.1_0.9,c_1.6.2.0.5.1_1.0,score
1.6.2.0.0.1_0.5,0.8717949066021852,9.204604012636738e-05,6,0.06028626807636987,0.0,0.0,0.0,0.5,0.2,0.0,1
1.6.2.0.1.1_0.6,0.948717966960086,0.0002167239840065064,3,0.026297420890705574,0.6666666666666666,0.0,0.75,0.75,0.4,0.16666666666666666,4
1.6.2.0.2.1_0.7,0.9230769478513949,0.00030449153863637806,4,0.039156054803778054,0.6666666666666666,0.0,0.0,0.75,0.2,0.0,2
1.6.2.0.3.1_0.8,0.9316239507499565,0.5004597113937164,4,0.05343888653426783,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0
1.6.2.0.4.1_0.9,0.9102564095597411,0.4470304054856569,5,0.05957748152005295,0.8333333333333334,0.0,0.75,1.0,0.0,0.5,4
1.6.2.0.5.1_1.0,0.8717949485441422,0.0007890969327426822,6,0.07751903787192972,0.8333333333333334,0.6666666666666666,1.0,0.75,0.2,0.0,4
