Instance,1.6.1.0.0.1_0.5-mean,1.6.1.0.0.1_0.5-std,1.6.1.0.1.1_0.6-mean,1.6.1.0.1.1_0.6-std,1.6.1.0.2.1_0.7-mean,1.6.1.0.2.1_0.7-std,1.6.1.0.3.1_0.8-mean,1.6.1.0.3.1_0.8-std,1.6.1.0.4.1_0.9-mean,1.6.1.0.4.1_0.9-std,1.6.1.0.5.1_1.0-mean,1.6.1.0.5.1_1.0-std
small_ga-dem1_r25_1_0,0.0496,7.6e-03,0.0508,6.8e-03,0.0516,7.0e-03,0.0469,0.011,0.0597,0.012,\textbf{0.0647},0.012
small_ga-dem4_r25_1_40,0.065,0.018,0.0633,0.014,0.0659,0.025,0.0527,0.022,0.0827,0.022,\textbf{0.09},0.026
small_no-dem2_r25_1_40,0.0448,0.024,0.0379,0.012,0.047,0.028,0.0547,0.027,\textbf{0.0613},0.031,0.0448,0.017
small_no-dem3_r25_1_0,0.0454,7.1e-03,0.0405,8.9e-03,0.049,0.012,0.0484,9.7e-03,0.049,8.1e-03,\textbf{0.0551},0.011
small_uu-dem4_r25_1_0,0.0355,7.1e-03,0.0361,0.012,0.045,0.011,0.0402,8.2e-03,0.0393,4.2e-03,\textbf{0.0467},0.011
