models,delta,spacing,nds,hypervolume,c_1.2.6.0.0.0,c_1.2.6.0.0.1,c_1.2.6.0.0.2,c_1.2.6.0.0.3,score
1.2.6.0.0.0,0.0,0.0,2,0.18599272591823096,0.0,1.0,1.0,0.0,2
1.2.6.0.0.1,inf,inf,1,,0.0,0.0,0.0,0.0,0
1.2.6.0.0.2,inf,inf,1,,0.0,0.0,0.0,0.0,0
1.2.6.0.0.3,0.4444406338099394,0.5751542957942873,4,0.266148060569628,1.0,1.0,1.0,0.0,3
