models,delta,spacing,nds,c_0.2.5.0.1.0,c_0.2.5.0.1.1,c_0.2.5.0.1.2,c_0.2.5.0.1.3,c_0.2.5.0.1.4,c_0.2.5.0.1.5,score
0.2.5.0.1.0,1.51965719730196e-08,9.87645372343816e-05,9,0.0,0.5,0.4444444444444444,0.0,0.6666666666666666,0.5,4
0.2.5.0.1.1,0.39506150149504016,0.6322189984359715,10,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.5,2
0.2.5.0.1.2,1.7041084232338743e-06,0.0012758105186537032,9,0.2222222222222222,0.7,0.0,0.2222222222222222,0.5555555555555556,0.375,2
0.2.5.0.1.3,1.51965719730196e-08,9.87645372343816e-05,9,0.0,0.5,0.4444444444444444,0.0,0.6666666666666666,0.5,4
0.2.5.0.1.4,0.21874998718011987,0.0001896420550402964,9,0.2222222222222222,0.4,0.2222222222222222,0.2222222222222222,0.0,0.375,0
0.2.5.0.1.5,5.24223503019426e-08,0.0002417681612947487,8,0.3333333333333333,0.4,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.0,2
