models,delta,spacing,onvg,hypervolume,"c_1.6.9.0.4.0_(0.9, 0.1)","c_1.6.9.0.4.1_(0.8, 0.2)","c_1.6.9.0.4.2_(0.8, 0.1)","c_1.6.9.0.4.3_(0.7, 0.2)",score
"1.6.9.0.4.0_(0.9, 0.1)",0.3513770907854859,4.6871902565646264e-05,28,0.12253226016043,0.0,0.17391304347826086,0.23529411764705882,0.11428571428571428,2
"1.6.9.0.4.1_(0.8, 0.2)",0.4358974683271417,2.0329215361973675e-05,23,0.0875542646568541,0.10714285714285714,0.0,0.08823529411764706,0.11428571428571428,0
"1.6.9.0.4.2_(0.8, 0.1)",0.17793339896172986,0.0007134801332800378,34,0.260612551703283,0.17857142857142858,0.21739130434782608,0.0,0.14285714285714285,1
"1.6.9.0.4.3_(0.7, 0.2)",0.12820732128948614,0.0007009829023653197,35,0.2591038246350169,0.32142857142857145,0.2608695652173913,0.47058823529411764,0.0,3
