models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9266543110963285,0.004984435812706537,11,0.09810452670279766,65.9766914844513,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.93028268805161,0.011671401221568335,11,0.11733393252028848,127.58617973327637,0.9090909090909091,0.0,0.16666666666666666,0.3,0.0,1
Prim,0.9395363365249021,0.005899723317763064,12,0.13604710670830955,68.71770787239075,1.0,0.2727272727272727,0.0,0.15,0.0,2
Kruskal,0.9164145224440032,0.005887130253354463,20,0.18821806356922322,83.83046197891235,0.8181818181818182,0.45454545454545453,0.16666666666666666,0.0,0.0,3
GPrim,0.9384363636578402,0.06337757680675705,70,0.8188146721773766,101.6888976097107,1.0,1.0,1.0,1.0,0.0,4
