models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,1.0,inf,1,0.5933772667190366,39.15380573272705,0.0,0.5,0.0,0.6666666666666666,0.0,2
NetKeys,0.9497005932991434,0.0,2,0.5799459244408296,56.29578137397766,0.0,0.0,0.0,0.3333333333333333,0.0,0
Prim,1.0,inf,1,0.6006028671790032,41.351492166519165,1.0,1.0,0.0,0.6666666666666666,0.0,3
Kruskal,0.9664847824385973,0.08113616670025142,3,0.6109643747375559,48.10641145706177,0.0,0.5,0.0,0.0,0.0,1
GPrim,0.8604632020928357,0.20675457965659252,4,0.705457857332499,77.98096799850464,1.0,1.0,1.0,1.0,0.0,4
