models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,1.0198039176997094,0.8157894958318248,0.4472754835567265,5.0,0.018907255407480464,0.0,0.0,0.0,0.0,0.0,0.0
B,0.524404439049557,0.5263158927757334,0.00013127098771006191,10.0,0.0373009768278231,1.0,0.0,0.2222222222222222,0.25,0.0,1.0
C,0.4242640855693415,0.6184211230040347,0.3332791479371077,9.0,0.04563096640500655,1.0,0.6,0.0,0.625,0.0,3.0
D,0.4031129021026679,0.5939850225094294,0.7439077919552137,8.0,0.05041848422012507,1.0,0.6,0.4444444444444444,0.0,0.0,2.0
E,0.11180340401794568,0.10526456198893393,0.0002631285505609544,18.0,0.07892355357186623,1.0,1.0,1.0,1.0,0.0,4.0
