models,igd,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.05067858617646663,0.8097288977076943,0.021878608923881358,7,0.16881610161659347,12.988956689834595,0.0,0.0,0.0,0.0,0.0,0
B,0.03519196419151811,0.681650536941251,0.019602261398295157,12,0.3112339078611665,22.520781755447388,1.0,0.0,0.15384615384615385,0.15384615384615385,0.0,1
C,0.03944201842132364,0.6652076753579014,0.021682415297081786,13,0.3331768716659308,16.352560997009277,1.0,0.4166666666666667,0.0,0.3076923076923077,0.0,3
D,0.03698665248265372,0.6494331237673034,0.019437132556282627,13,0.3241732268561734,19.212862730026245,1.0,0.4166666666666667,0.07692307692307693,0.0,0.0,2
E,0.016812842788697404,0.6441928125329546,0.11770736241226742,20,0.806818332814243,23.770463466644287,1.0,0.8333333333333334,0.3076923076923077,0.46153846153846156,0.0,4
