models,delta,spacing,onvg,hypervolume,c_1.6.9.0.4.0,c_1.6.9.0.4.1,c_1.6.9.0.4.2,c_1.6.9.0.4.3,score
1.6.9.0.4.0,0.5612536151351314,0.0002925279517081315,19,0.12923172237620656,0.0,0.0,0.05263157894736842,0.1,0
1.6.9.0.4.1,0.7179487394553682,6.89139531622132e-05,12,0.04908585141742507,0.5789473684210527,0.0,0.3157894736842105,0.35,1
1.6.9.0.4.2,0.561254138845377,0.0009359100160124789,19,0.19997456175137113,0.8421052631578947,0.4166666666666667,0.0,0.6,3
1.6.9.0.4.3,0.5357637090763147,0.0009063705059094908,20,0.20388370813318374,0.6842105263157895,0.4166666666666667,0.3684210526315789,0.0,2
