models,delta,spacing,nds,c_1.2.4.0.0.0,c_1.2.4.0.0.1,c_1.2.4.0.0.2,c_1.2.4.0.0.3,score
1.2.4.0.0.0,0.9600000218639113,0.4085190257188587,6,0.0,0.0,1.0,0.5,2
1.2.4.0.0.1,inf,inf,1,0.0,0.0,1.0,0.0,1
1.2.4.0.0.2,inf,inf,1,0.0,0.0,0.0,0.0,0
1.2.4.0.0.3,1.1111111602778787,1.4145841607184348,4,0.3333333333333333,0.0,1.0,0.0,1
