models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.6782330170291077,0.757894728429522,0.5162456496388516,6,0.017502118409920237,0.0,0.0,0.0,0.0,0.0,0
B,0.722841624306434,0.5263158313529467,0.00019091292262116206,10,0.025110726746884228,1.0,0.0,0.3333333333333333,0.23076923076923078,0.05,1
C,0.7382411588012828,0.5789473983590482,0.000140347669755917,9,0.020401395717394168,1.0,0.6,0.0,0.23076923076923078,0.15,3
D,0.3872983481641468,0.3684211141339576,0.00014508611996993262,13,0.029084823888447006,1.0,0.6,0.2222222222222222,0.0,0.05,2
E,0.00019279261257185097,6.255331446928891e-06,0.00045610665263220394,20,0.06288863912477732,1.0,0.8,0.4444444444444444,0.5384615384615384,0.0,4
