models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9593928554824119,0.004375593052628631,8,0.058675001286435824,60.566808223724365,0.0,0.0,0.0,0.0,0.0,0
B,0.9553203898380743,0.01663955727074716,5,0.06484024792837251,120.08890151977539,0.75,0.0,0.0,0.0,0.0,1
C,0.96973367960647,0.004923780438694046,6,0.045902208444716944,69.5513768196106,1.0,1.0,0.0,0.0,0.0,2
D,0.9656844675921418,0.010580403759458616,7,0.0630507036308322,99.01503419876099,1.0,1.0,1.0,0.0,0.0,3
E,0.744988345077848,0.022914181596838418,70,0.5622019503660514,106.09722399711609,1.0,1.0,1.0,1.0,0.0,4
