models,delta,spacing,onvg,hypervolume,c_1.6.1.0.4.0,c_1.6.1.0.4.1,c_1.6.1.0.4.2,c_1.6.1.0.4.3,c_1.6.1.0.4.4,c_1.6.1.0.4.5,c_1.6.1.0.4.6,c_1.6.1.0.4.7,score
1.6.1.0.4.0,0.8388278882201576,0.00010484627571249262,8,0.07374043174538619,0.0,0.8181818181818182,0.875,0.8333333333333334,1.0,1.0,1.0,1.0,7
1.6.1.0.4.1,0.7897431689261,0.6028733250872989,11,0.2038373797135796,0.0,0.0,0.5,0.5,0.9,0.875,1.0,1.0,5
1.6.1.0.4.2,0.87545782237001,1.0605433892830596,8,0.12253365406650897,0.0,0.45454545454545453,0.0,0.5833333333333334,0.9,0.875,1.0,1.0,5
1.6.1.0.4.3,0.7529137555098951,0.28856034151902493,12,0.15822022194546542,0.0,0.5454545454545454,0.5,0.0,0.7,0.875,0.8571428571428571,0.8181818181818182,5
1.6.1.0.4.4,0.7948718325432231,0.4217365340447201,10,0.1244242943858039,0.0,0.09090909090909091,0.125,0.16666666666666666,0.0,0.25,0.5714285714285714,0.9090909090909091,2
1.6.1.0.4.5,0.8315018760498034,0.46326262725987033,8,0.10500898101601815,0.0,0.09090909090909091,0.125,0.0,0.5,0.0,0.7142857142857143,0.7272727272727273,3
1.6.1.0.4.6,0.8803419044799735,2.235951838849165,7,0.111608654422876,0.0,0.0,0.0,0.08333333333333333,0.4,0.25,0.0,0.45454545454545453,1
1.6.1.0.4.7,0.8205128054264099,0.9044478902216423,11,0.1557398614684395,0.0,0.0,0.0,0.0,0.1,0.0,0.2857142857142857,0.0,0
