models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_HMOEA,c_GPrim,score
Prufer,0.9927016681423229,0.01652490817557228,4,0.5624201693971557,633.097062587738,0.0,0.0,0.0,0.42857142857142855,0.1111111111111111,0.0,2
NetKeys,0.981430667921274,0.02197557636618737,7,0.7236134078647146,1520.536593914032,1.0,0.0,0.2857142857142857,0.7142857142857143,0.4444444444444444,0.0,4
Prim,0.9831542234463093,0.015814610735896833,7,0.5802521936727747,292.96128249168396,1.0,0.0,0.0,0.42857142857142855,0.1111111111111111,0.0,2
Kruskal,1.0014909482604468,0.018860146781209827,7,0.7206978675699346,468.4944176673889,0.0,0.2857142857142857,0.14285714285714285,0.0,0.4444444444444444,0.0,1
HMOEA,0.7889507138743221,0.005530576446120782,9,0.9150689032066522,4480.670152664185,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,1
GPrim,0.9486621316743861,0.009135621445014792,19,0.7768422127890536,478.52890276908875,1.0,1.0,1.0,1.0,0.5555555555555556,0.0,5
