models,delta,spacing,onvg,hypervolume,c_1.6.2.0.4.0_0.05,c_1.6.2.0.4.1_0.1,c_1.6.2.0.4.2_0.15,c_1.6.2.0.4.3_0.2,c_1.6.2.0.4.4_0.3,c_1.6.2.0.4.5_0.4,c_1.6.2.0.4.6_0.5,score
1.6.2.0.4.0_0.05,0.923076950751097,0.0006260709423061019,4,0.04625948246016808,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0
1.6.2.0.4.1_0.1,0.9743588951694382,0.0,2,0.0498881259915827,0.25,0.0,0.5,0.0,0.5,0.2,0.0,3
1.6.2.0.4.2_0.15,0.9487179571743477,0.0,2,0.03200015203756479,0.5,0.0,0.0,0.0,0.5,0.2,0.0,2
1.6.2.0.4.3_0.2,0.9743589450429514,0.0,2,0.03531723722894915,0.25,1.0,0.5,0.0,0.5,0.2,0.0,4
1.6.2.0.4.4_0.3,0.8717949145839752,0.00010543478328566889,6,0.05928229951105049,0.5,0.0,0.0,0.0,0.0,0.2,0.0,1
1.6.2.0.4.5_0.4,0.897435952425595,0.0002104842585955364,5,0.06230244611907629,0.75,0.5,0.5,0.5,0.6666666666666666,0.0,0.0,5
1.6.2.0.4.6_0.5,0.9230769712316373,0.0008934618262619569,4,0.06721002801719637,0.25,1.0,0.5,1.0,0.5,0.4,0.0,6
