Instance,"1.6.9.0.4.0_(0.9, 0.1)-mean","1.6.9.0.4.0_(0.9, 0.1)-std","1.6.9.0.4.1_(0.8, 0.2)-mean","1.6.9.0.4.1_(0.8, 0.2)-std","1.6.9.0.4.2_(0.8, 0.1)-mean","1.6.9.0.4.2_(0.8, 0.1)-std","1.6.9.0.4.3_(0.7, 0.2)-mean","1.6.9.0.4.3_(0.7, 0.2)-std"
small_ga-dem1_r25_1_0,0.166,0.07,0.401,0.036,0.156,0.023,\textbf{0.128},5.5e-07
small_ga-dem4_r25_1_40,\textbf{0.517},0.044,0.641,0.064,0.523,0.033,0.543,0.027
small_no-dem2_r25_1_40,0.802,0.015,0.863,0.047,0.8,0.01,\textbf{0.792},7.7e-03
small_no-dem3_r25_1_0,0.373,0.029,0.545,0.032,0.351,0.036,\textbf{0.328},0.019
small_uu-dem4_r25_1_0,0.562,0.043,0.761,0.045,0.566,0.05,\textbf{0.529},0.029
