Instance,"1.6.9.0.4.0_(0.9, 0.1)-mean","1.6.9.0.4.0_(0.9, 0.1)-std","1.6.9.0.4.1_(0.8, 0.2)-mean","1.6.9.0.4.1_(0.8, 0.2)-std","1.6.9.0.4.2_(0.8, 0.1)-mean","1.6.9.0.4.2_(0.8, 0.1)-std","1.6.9.0.4.3_(0.7, 0.2)-mean","1.6.9.0.4.3_(0.7, 0.2)-std"
small_ga-dem1_r25_1_0,33.8,2.3,24.8,1.3,34.4,0.49,\textbf{35},0.0e+00
small_ga-dem4_r25_1_40,\textbf{20},1.7,15.1,2.4,19.7,1.3,19,1.1
small_no-dem2_r25_1_40,8.8,0.4,6.4,1.8,8.8,0.4,\textbf{9.1},0.3
small_no-dem3_r25_1_0,25.8,0.87,19.1,1.1,26.6,1.3,\textbf{27.2},0.75
small_uu-dem4_r25_1_0,18.6,1.4,10.9,1.6,18.6,1.7,\textbf{19.8},0.87
