models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,5.883721870825198e-08,0.00023409098851728732,5,0.0,1.0,0.8,1.0,1.0,4
kruskal,0.7499999861896002,0.8944630751279757,5,0.0,0.0,0.0,0.5,1.0,2
netkeys,0.37499999871333295,0.00011592124123966882,5,0.0,0.6,0.0,1.0,1.0,3
prim,0.47999989159546164,0.5161468990349499,6,0.0,0.2,0.0,0.0,0.0,0
prufer,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0
