Instance,1.6.1.0.4.0_0.05-mean,1.6.1.0.4.0_0.05-std,1.6.1.0.4.1_0.1-mean,1.6.1.0.4.1_0.1-std,1.6.1.0.4.2_0.15-mean,1.6.1.0.4.2_0.15-std,1.6.1.0.4.3_0.2-mean,1.6.1.0.4.3_0.2-std,1.6.1.0.4.4_0.3-mean,1.6.1.0.4.4_0.3-std,1.6.1.0.4.5_0.4-mean,1.6.1.0.4.5_0.4-std,1.6.1.0.4.6_0.5-mean,1.6.1.0.4.6_0.5-std
small_ga-dem1_r25_1_0,10.1,1.6,\textbf{10.6},2.5,10.1,1.6,10.1,1.6,10.1,1.6,10.1,1.6,10.1,1.6
small_ga-dem4_r25_1_40,5.7,1.1,\textbf{6.8},1.6,5.7,1.1,5.7,1.1,5.7,1.1,5.7,1.1,5.7,1.1
small_no-dem2_r25_1_40,4.1,1.3,\textbf{4.5},1.5,4.1,1.3,4.1,1.3,4.1,1.3,4.1,1.3,4.1,1.3
small_no-dem3_r25_1_0,\textbf{9.9},2,9.1,1.7,\textbf{9.9},2,\textbf{9.9},2,\textbf{9.9},2,\textbf{9.9},2,\textbf{9.9},2
small_uu-dem4_r25_1_0,8.4,1.4,\textbf{8.8},0.75,8.4,1.4,8.4,1.4,8.4,1.4,8.4,1.4,8.4,1.4
