Instance,1.6.1.0.4.0_0.05-mean,1.6.1.0.4.0_0.05-std,1.6.1.0.4.1_0.1-mean,1.6.1.0.4.1_0.1-std,1.6.1.0.4.2_0.15-mean,1.6.1.0.4.2_0.15-std,1.6.1.0.4.3_0.2-mean,1.6.1.0.4.3_0.2-std,1.6.1.0.4.4_0.3-mean,1.6.1.0.4.4_0.3-std,1.6.1.0.4.5_0.4-mean,1.6.1.0.4.5_0.4-std,1.6.1.0.4.6_0.5-mean,1.6.1.0.4.6_0.5-std
small_ga-dem1_r25_1_0,0.0516,7.0e-03,\textbf{0.0597},0.012,0.0516,7.0e-03,0.0516,7.0e-03,0.0516,7.0e-03,0.0516,7.0e-03,0.0516,7.0e-03
small_ga-dem4_r25_1_40,0.0659,0.025,\textbf{0.0827},0.022,0.0659,0.025,0.0659,0.025,0.0659,0.025,0.0659,0.025,0.0659,0.025
small_no-dem2_r25_1_40,0.047,0.028,\textbf{0.0613},0.031,0.047,0.028,0.047,0.028,0.047,0.028,0.047,0.028,0.047,0.028
small_no-dem3_r25_1_0,\textbf{0.049},0.012,0.049,8.1e-03,\textbf{0.049},0.012,\textbf{0.049},0.012,\textbf{0.049},0.012,\textbf{0.049},0.012,\textbf{0.049},0.012
small_uu-dem4_r25_1_0,\textbf{0.045},0.011,0.0393,4.2e-03,\textbf{0.045},0.011,\textbf{0.045},0.011,\textbf{0.045},0.011,\textbf{0.045},0.011,\textbf{0.045},0.011
