Instance,onvg_1.6.1.0.4.0_0.05,onvg_1.6.1.0.4.1_0.1,onvg_1.6.1.0.4.2_0.15,onvg_1.6.1.0.4.3_0.2,onvg_1.6.1.0.4.4_0.3,onvg_1.6.1.0.4.5_0.4,onvg_1.6.1.0.4.6_0.5,onvg_1.6.1.0.4.7_0.6,delta_1.6.1.0.4.0_0.05,delta_1.6.1.0.4.1_0.1,delta_1.6.1.0.4.2_0.15,delta_1.6.1.0.4.3_0.2,delta_1.6.1.0.4.4_0.3,delta_1.6.1.0.4.5_0.4,delta_1.6.1.0.4.6_0.5,delta_1.6.1.0.4.7_0.6,hypervolume_1.6.1.0.4.0_0.05,hypervolume_1.6.1.0.4.1_0.1,hypervolume_1.6.1.0.4.2_0.15,hypervolume_1.6.1.0.4.3_0.2,hypervolume_1.6.1.0.4.4_0.3,hypervolume_1.6.1.0.4.5_0.4,hypervolume_1.6.1.0.4.6_0.5,hypervolume_1.6.1.0.4.7_0.6
small_ga-dem1_r25_1_0,$10.1 \pm 1.64$,$10.6 \pm 2.5$,$10.1 \pm 1.64$,$10.1 \pm 1.64$,$10.1 \pm 1.64$,$10.1 \pm 1.64$,$10.1 \pm 1.64$,$10.1 \pm 1.64$,$0.791 \pm 0.037$,$0.788 \pm 0.0667$,$0.791 \pm 0.037$,$0.791 \pm 0.037$,$0.791 \pm 0.037$,$0.791 \pm 0.037$,$0.791 \pm 0.037$,$0.791 \pm 0.037$,$0.0516 \pm 0.007$,$0.0597 \pm 0.0122$,$0.0516 \pm 0.007$,$0.0516 \pm 0.007$,$0.0516 \pm 0.007$,$0.0516 \pm 0.007$,$0.0516 \pm 0.007$,$0.0516 \pm 0.007$
small_ga-dem4_r25_1_40,$5.7 \pm 1.1$,$6.8 \pm 1.6$,$5.7 \pm 1.1$,$5.7 \pm 1.1$,$5.7 \pm 1.1$,$5.7 \pm 1.1$,$5.7 \pm 1.1$,$5.7 \pm 1.1$,$0.889 \pm 0.0262$,$0.869 \pm 0.0348$,$0.889 \pm 0.0262$,$0.889 \pm 0.0262$,$0.889 \pm 0.0262$,$0.889 \pm 0.0262$,$0.889 \pm 0.0262$,$0.889 \pm 0.0262$,$0.0659 \pm 0.0245$,$0.0827 \pm 0.0219$,$0.0659 \pm 0.0245$,$0.0659 \pm 0.0245$,$0.0659 \pm 0.0245$,$0.0659 \pm 0.0245$,$0.0659 \pm 0.0245$,$0.0659 \pm 0.0245$
small_no-dem2_r25_1_40,$4.1 \pm 1.3$,$4.5 \pm 1.5$,$4.1 \pm 1.3$,$4.1 \pm 1.3$,$4.1 \pm 1.3$,$4.1 \pm 1.3$,$4.1 \pm 1.3$,$4.1 \pm 1.3$,$0.921 \pm 0.0333$,$0.919 \pm 0.0368$,$0.921 \pm 0.0333$,$0.921 \pm 0.0333$,$0.921 \pm 0.0333$,$0.921 \pm 0.0333$,$0.921 \pm 0.0333$,$0.921 \pm 0.0333$,$0.047 \pm 0.028$,$0.0613 \pm 0.0306$,$0.047 \pm 0.028$,$0.047 \pm 0.028$,$0.047 \pm 0.028$,$0.047 \pm 0.028$,$0.047 \pm 0.028$,$0.047 \pm 0.028$
small_no-dem3_r25_1_0,$9.9 \pm 2.02$,$9.1 \pm 1.7$,$9.9 \pm 2.02$,$9.9 \pm 2.02$,$9.9 \pm 2.02$,$9.9 \pm 2.02$,$9.9 \pm 2.02$,$9.9 \pm 2.02$,$0.78 \pm 0.0491$,$0.812 \pm 0.0492$,$0.78 \pm 0.0491$,$0.78 \pm 0.0491$,$0.78 \pm 0.0491$,$0.78 \pm 0.0491$,$0.78 \pm 0.0491$,$0.78 \pm 0.0491$,$0.049 \pm 0.0116$,$0.049 \pm 0.00808$,$0.049 \pm 0.0116$,$0.049 \pm 0.0116$,$0.049 \pm 0.0116$,$0.049 \pm 0.0116$,$0.049 \pm 0.0116$,$0.049 \pm 0.0116$
small_uu-dem4_r25_1_0,$8.4 \pm 1.36$,$8.8 \pm 0.748$,$8.4 \pm 1.36$,$8.4 \pm 1.36$,$8.4 \pm 1.36$,$8.4 \pm 1.36$,$8.4 \pm 1.36$,$8.4 \pm 1.36$,$0.827 \pm 0.0334$,$0.804 \pm 0.0239$,$0.827 \pm 0.0334$,$0.827 \pm 0.0334$,$0.827 \pm 0.0334$,$0.827 \pm 0.0334$,$0.827 \pm 0.0334$,$0.827 \pm 0.0334$,$0.045 \pm 0.0107$,$0.0393 \pm 0.00421$,$0.045 \pm 0.0107$,$0.045 \pm 0.0107$,$0.045 \pm 0.0107$,$0.045 \pm 0.0107$,$0.045 \pm 0.0107$,$0.045 \pm 0.0107$
