models,delta,spacing,onvg,hypervolume,c_1.6.9.0.0.1,c_1.6.9.0.1.1,c_1.6.9.0.2.1,c_1.6.9.0.3.1,c_1.6.9.0.4.1,c_1.6.9.0.5.1,score
1.6.9.0.0.1,0.7948722326108435,0.002136235160210782,9,0.3054521296301724,0.0,0.75,0.4,0.8,0.625,0.6666666666666666,5
1.6.9.0.1.1,0.8205130304670688,0.0013652140901098905,8,0.19623960586106845,0.2222222222222222,0.0,0.2,0.6,0.375,0.6666666666666666,2
1.6.9.0.2.1,0.8974359486010133,0.00027492416044303913,5,0.055252405875685216,0.3333333333333333,0.375,0.0,0.6,0.25,0.6666666666666666,3
1.6.9.0.3.1,0.897435947343555,0.00032063395868403474,5,0.05962362361544764,0.1111111111111111,0.0,0.2,0.0,0.125,0.6666666666666666,1
1.6.9.0.4.1,0.8205130795832403,0.0014896163404307331,8,0.19331157396695256,0.3333333333333333,0.5,0.4,0.4,0.0,0.6666666666666666,4
1.6.9.0.5.1,0.9487179656910987,0.0002359009916780647,3,0.029507943856108068,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0
