models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.8717619172414173,0.7591228313291978,0.09878004730576774,5.6,0.022539451796801547,0.0,0.0,0.0,0.0,0.0,0.0
B,0.5830905729672219,0.6197494557666661,0.18410240459311072,8.6,0.036093800414380116,1.0,0.0,0.34930735930735934,0.3091269841269841,0.006666666666666668,1.8
C,0.6580689328728344,0.6772431512385702,0.1743056303269979,7.5,0.034547517035489715,1.0,0.4490800865800866,0.0,0.29047619047619044,0.011805555555555555,1.9
D,0.7351525496675695,0.6595489513848658,0.07631760501597053,7.6,0.031131596721403375,1.0,0.5069300144300144,0.4423268398268398,0.0,0.01254901960784314,2.3
E,0.15251929888117197,0.17368690972150727,0.00043652152850247566,16.7,0.08357320296484498,1.0,0.9888888888888889,0.9633333333333333,0.9746031746031747,0.0,4.0
