Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,29.4607355594635,40.6935350894928,28.938251733779907,34.0793194770813,42.12135124206543
NIn8,22.892608642578125,24.40372347831726,29.112069129943848,32.027423620224,42.80632090568543
NIn9,62.54690480232239,133.67324447631836,67.31147480010986,83.23740816116333,96.7619423866272
NIn10,58.77521777153015,120.51422047615053,69.06819868087769,81.41596150398254,97.699360370636
NIn11,235.34528517723083,1175.4333996772766,192.86513829231265,334.97031688690186,243.6517732143402
NIn12,131.61358213424683,398.4167249202728,157.51189494132996,198.9075791835785,210.8993673324585
NIn13,36.053242206573486,57.89803433418274,42.83245277404785,44.99661421775818,76.29410123825073
NIn14,37.73237681388855,52.63438081741333,41.52490162849426,46.54162955284119,73.32685494422913
NIn15,105.2163462638855,161.3148365020752,107.53623628616332,119.51499247550964,233.39984679222107
NIn16,122.42854475975037,136.67921447753906,108.75721597671507,115.49907565116882,176.16655349731445
NIn17,596.2394487857819,1395.983033657074,290.3284511566162,435.3913946151733,448.4654200077057
NIn18,639.0105187892914,1427.2592284679413,291.80413484573364,467.0167677402496,474.7741119861603
