Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,29.5,40.7,\textbf{28.9},34.1,42.1
NIn8,\textbf{22.9},24.4,29.1,32.0,42.8
NIn9,\textbf{62.5},133.7,67.3,83.2,96.8
NIn10,\textbf{58.8},120.5,69.1,81.4,97.7
NIn11,235.3,1175.4,\textbf{192.9},335.0,243.7
NIn12,\textbf{131.6},398.4,157.5,198.9,210.9
NIn13,\textbf{36.1},57.9,42.8,45.0,76.3
NIn14,\textbf{37.7},52.6,41.5,46.5,73.3
NIn15,\textbf{105.2},161.3,107.5,119.5,233.4
NIn16,122.4,136.7,\textbf{108.8},115.5,176.2
NIn17,596.2,1396.0,\textbf{290.3},435.4,448.5
NIn18,639.0,1427.3,\textbf{291.8},467.0,474.8
