models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_guided prim,score
netkeys,4.939538525983167e-07,0.0006128078071439901,3,0.0,0.0,0.0,0.0,0
kruskal,2.3218063799346211e-07,0.0004721071120998182,5,1.0,0.0,0.2,0.0,2
prim,0.7499999666165127,0.8942938812637816,5,1.0,0.0,0.0,0.0,1
guided prim,6.836462208725802e-06,0.0025470801969913527,9,1.0,1.0,1.0,0.0,3
