models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.049987672957848006,0.8269039967083172,0.0366566281336624,6.0,0.1768216043536379,0.0,0.0,0.0,0.0,0.0,0.0
B,0.033926263004734114,0.6832296529535583,0.03643633061748024,11.9,0.3615836585356121,0.9708333333333334,0.0,0.18763361638361636,0.1571944721944722,0.01,1.2
C,0.034137876897809824,0.6774109878803632,0.021654261316624367,12.6,0.33114998761153513,1.0,0.5805694305694307,0.0,0.30345779220779223,0.025,2.5
D,0.032898661431613366,0.6743127769269787,0.029542285140260038,12.3,0.35560192707357857,1.0,0.6359890109890111,0.33751290376290377,0.0,0.02,2.2
E,0.016952140196277218,0.643954340139788,0.11753874107218432,20.0,0.8061144691244368,1.0,0.886971361971362,0.5872302697302698,0.6254933954933956,0.0,4.0
