models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.9368089165341958,0.0475766965578099,4,0.06494720959620812,0.0,0.0,0.0,0.0,0.0,0
B,0.9731491575269994,0.11023090755079791,3,0.08126558867698591,1.0,0.0,0.0,0.0,0.0,1
C,0.9272363001005388,0.0839502649497762,3,0.09992101045174348,1.0,0.6666666666666666,0.0,0.0,0.0,2
D,0.855566897040258,0.0,2,0.11254474939367387,1.0,1.0,1.0,0.0,0.0,3
E,0.9566229499274774,0.1779141542625613,7,0.4312610864368844,1.0,1.0,1.0,1.0,0.0,4
