models,igd,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.026636954965661326,0.7301980743234251,0.024877592456273925,11,0.8466097901124712,36.63302946090698,0.0,0.14285714285714285,0.3,0.14285714285714285,0.125,0.1,0
Prufer,0.03965683457947335,0.8397582012056457,0.026751226030576964,7,0.6762050054042498,18.92043924331665,0.36363636363636365,0.0,0.4,0.14285714285714285,0.0,0.0,1
NetKeys,0.03471250604851732,0.7406844692936057,0.010579988624882972,10,0.7667377331594812,24.95435619354248,0.5454545454545454,0.42857142857142855,0.0,0.0,0.0,0.0,2
Prim,0.04428143712638753,0.824078473844083,0.008864248651461317,7,0.6783626458682879,17.475666284561157,0.5454545454545454,0.7142857142857143,0.7,0.0,0.375,0.0,4
Kruskal,0.041897339165343966,0.7960941496621365,0.009606447293558086,8,0.7240282120850465,22.022252321243286,0.6363636363636364,1.0,0.9,0.2857142857142857,0.0,0.0,3
GPrim,0.0003616153213371333,0.5346177590722494,0.04828574504940037,20,0.8836607870773624,24.148732900619507,0.8181818181818182,1.0,1.0,0.7142857142857143,0.875,0.0,5
