models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.951561778163953,0.005117495593109147,10,0.06458231739350584,653.9499015808105,0.0,0.0,0.0,0.0,0.0,0
B,0.9876670337420518,0.0019368889006405334,7,0.04632241735983811,1515.93066239357,1.0,0.0,1.0,1.0,0.0,3
C,0.9930312675419277,0.03298073289903392,3,0.031082877904683004,306.4848966598511,0.5,0.0,0.0,0.0,0.0,1
D,0.9681804104948006,0.012868996920425594,5,0.058264448416809556,471.5513868331909,0.5,0.0,0.6666666666666666,0.0,0.0,2
E,0.9463956510187336,0.0014024563052447258,26,0.11908462171618446,551.3391668796539,1.0,1.0,1.0,1.0,0.0,4
