models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,4.259669618675299e-05,0.006354731559733995,9,0.0,1.0,1.0,0.6666666666666666,1.0,4
kruskal,2.0937488079961137,1.3019117146416892,9,0.0,0.0,0.625,0.3333333333333333,1.0,2
netkeys,6.773332000038173e-08,0.00022077623005694667,8,0.0,0.1111111111111111,0.0,0.0,1.0,1
prim,0.7199958679205664,0.003719300202513979,6,0.0,0.3333333333333333,0.875,0.0,1.0,2
prufer,1.4444400016534733,0.48716104171918906,7,0.0,0.0,0.0,0.0,0.0,0
