models,delta,spacing,nds,c_1.2.4.0.1.0,c_1.2.4.0.1.1,c_1.2.4.0.1.2,c_1.2.4.0.1.3,score
1.2.4.0.1.0,1.1999999930349876,1.3294134318809196,6,0.0,0.0,0.0,0.5,0
1.2.4.0.1.1,2.6666667145626572,8.046697178131321e-08,4,0.5,0.0,0.3333333333333333,0.0,2
1.2.4.0.1.2,1.279999987982902,1.2110478067165913,6,0.6666666666666666,0.0,0.0,0.5,1
1.2.4.0.1.3,0.44444465455996934,9.331578756160363e-05,4,0.5,0.25,0.5,0.0,1
