models,delta,spacing,nds,c_1.2.6.0.1.0,c_1.2.6.0.1.1,c_1.2.6.0.1.2,c_1.2.6.0.1.3,score
1.2.6.0.1.0,0.0,0.0,2,0.0,0.0,1.0,0.875,2
1.2.6.0.1.1,inf,inf,1,0.5,0.0,1.0,0.875,3
1.2.6.0.1.2,inf,inf,1,0.0,0.0,0.0,0.375,1
1.2.6.0.1.3,0.4081631079774103,0.46336266262064923,8,0.0,0.0,0.0,0.0,0
