models,igd,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.03168197080500497,0.7319794363968404,0.02197234743067664,11,0.8492541674097843,35.897743701934814,0.0,0.0,0.25,0.07142857142857142,0.0,0.05,0
Prufer,0.03571220182833026,0.8340748730629156,0.018841527859088894,7,0.67628214721886,19.070460319519043,0.36363636363636365,0.0,0.25,0.0,0.1,0.0,1
NetKeys,0.0418634797291835,0.7956812848596431,0.0074328185395873304,8,0.7216653277615181,25.234232425689697,0.5454545454545454,0.5714285714285714,0.0,0.0,0.0,0.0,2
Prim,0.02055024149607792,0.6283411100092073,0.009118067240114916,14,0.7687426376090246,17.200013160705566,0.7272727272727273,1.0,1.0,0.0,0.8,0.1,4
Kruskal,0.03220058309871151,0.7361238737832047,0.006256738329280162,10,0.6784614844175666,21.86168360710144,0.6363636363636364,0.8571428571428571,0.5,0.07142857142857142,0.0,0.0,3
GPrim,0.00031243350880432016,0.5366769549533662,0.04933401535046351,20,0.8836076010656447,24.09695601463318,0.9090909090909091,0.8571428571428571,1.0,0.35714285714285715,0.9,0.0,5
