models,delta,spacing,nds,c_1.0.5.0.4.0,c_1.0.5.0.4.1,c_1.0.5.0.4.2,c_1.0.5.0.4.3,c_1.0.5.0.4.4,c_1.0.5.0.4.5,c_1.0.5.0.4.6,c_1.0.5.0.4.7,score
1.0.5.0.4.0,3.814340835776401e-08,0.00018150738969281341,10,0.0,0.6666666666666666,0.38461538461538464,0.375,0.25,0.42857142857142855,0.2857142857142857,0.35714285714285715,2
1.0.5.0.4.1,4.1540467962185385e-07,0.0006386464990140224,18,0.2,0.0,0.38461538461538464,0.25,0.08333333333333333,0.35714285714285715,0.07142857142857142,0.35714285714285715,0
1.0.5.0.4.2,0.1527777544805566,0.2772627346004426,13,0.4,0.3888888888888889,0.0,0.3125,0.25,0.5,0.14285714285714285,0.5,4
1.0.5.0.4.3,4.072630623230822e-06,0.0020163353975276846,16,0.5,0.7777777777777778,0.5384615384615384,0.0,0.3333333333333333,0.6428571428571429,0.2857142857142857,0.35714285714285715,4
1.0.5.0.4.4,5.136173886563259e-06,0.0022415920530184505,12,0.4,0.4444444444444444,0.38461538461538464,0.4375,0.0,0.6428571428571429,0.2857142857142857,0.42857142857142855,5
1.0.5.0.4.5,4.559487933038124e-06,0.0021150578211317815,14,0.3,0.4444444444444444,0.46153846153846156,0.3125,0.25,0.0,0.21428571428571427,0.42857142857142855,1
1.0.5.0.4.6,4.5721174569776e-06,0.0021235153950059787,14,0.5,0.5555555555555556,0.6923076923076923,0.625,0.4166666666666667,0.7142857142857143,0.0,0.5714285714285714,7
1.0.5.0.4.7,4.5664150287385915e-06,0.0021272411605202835,14,0.4,0.4444444444444444,0.38461538461538464,0.5,0.5,0.5,0.2857142857142857,0.0,5
