models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.6270806402396149,0.0,2,1.0126740731761485,34.68542814254761,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9507392501217851,0.0472056455337163,3,0.3288003943871521,54.29932928085327,1.0,0.0,0.6,0.0,0.0,2
Prim,0.8907919064919281,0.03890537186321585,5,0.3106318767325602,40.56980752944946,1.0,0.3333333333333333,0.0,0.0,0.0,1
Kruskal,1.0,inf,1,0.31369800488307725,45.020723819732666,1.0,0.6666666666666666,0.6,0.0,0.0,3
GPrim,0.8749707177586273,0.41841802220136837,4,2.441812182855259,76.53814935684204,1.0,1.0,1.0,1.0,0.0,4
