models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.7648529687007095,0.7894737128334035,0.9574321248681333,4,0.024273788124721245,0.0,0.0,0.0,0.0,0.0,0
B,0.8645808484886116,0.6315790662141003,0.0002649876579440086,8,0.034452732881064166,1.0,0.0,0.625,0.625,0.06666666666666667,3
C,0.7648529601061108,0.6315790414004159,0.00014811901249855208,8,0.031315933846444,1.0,0.125,0.0,0.25,0.0,1
D,0.9874209099238506,0.6315790907003257,0.000686571247663598,8,0.05091523860089278,1.0,0.125,0.5,0.0,0.0,2
E,0.3708099499110199,0.2631621174023262,0.0010340566661283038,15,0.10790127433183386,1.0,0.875,1.0,1.0,0.0,4
