models,delta,spacing,nds,c_1.0.5.0.0.1,c_1.0.5.0.1.1,c_1.0.5.0.2.1,c_1.0.5.0.3.1,c_1.0.5.0.4.1,c_1.0.5.0.5.1
1.0.5.0.0.1,0.12444428519510449,0.0014655869054202447,31,0.0,0.6451612903225806,0.5483870967741935,0.36363636363636365,0.6857142857142857,0.5416666666666666
1.0.5.0.1.1,0.12444428159253819,0.00148240798343044,31,0.1935483870967742,0.0,0.45161290322580644,0.2727272727272727,0.5142857142857142,0.625
1.0.5.0.2.1,0.23111078393480114,0.001483938027967878,31,0.3548387096774194,0.3870967741935484,0.0,0.30303030303030304,0.45714285714285713,0.5
1.0.5.0.3.1,0.1171873580946276,0.001434630323286056,33,0.41935483870967744,0.5483870967741935,0.4838709677419355,0.0,0.5714285714285714,0.5833333333333334
1.0.5.0.4.1,0.11072651642883702,0.1689657095131337,35,0.1935483870967742,0.3548387096774194,0.3870967741935484,0.2727272727272727,0.0,0.5416666666666666
1.0.5.0.5.1,0.3591682413669724,0.20411842792678683,24,0.22580645161290322,0.12903225806451613,0.16129032258064516,0.15151515151515152,0.2,0.0
