models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.9251916600759627,0.03236540971262419,4,0.09662669518448497,0.0,0.0,0.0,0.0,0.0,0
B,0.8019489348912975,0.012990925889101054,14,0.23471329593832208,1.0,0.0,0.09090909090909091,0.0,0.0,1
C,0.8694597705746632,0.03394069327760127,11,0.2258290378983629,1.0,0.7857142857142857,0.0,0.13333333333333333,0.0,2
D,0.8248307717246467,0.04402032181401541,15,0.32310681907773975,1.0,0.9285714285714286,0.5454545454545454,0.0,0.02857142857142857,3
E,0.7960412948737488,0.08822193361474433,35,0.8202019997459932,1.0,1.0,1.0,0.9333333333333333,0.0,4
