models,igd,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.03172532526768534,0.732072561167194,0.02730443849803141,11,0.8484340854287312,39.43580484390259,0.0,0.25,0.3333333333333333,0.0,0.0,0.05,0
Prufer,0.0389232169260104,0.7918891027185184,0.009721295269354566,8,0.6760704386182638,27.981982231140137,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,1
NetKeys,0.044600009807732016,0.7667771723568466,0.014906663826037093,9,0.8109141792889595,34.7002317905426,0.6363636363636364,0.875,0.0,0.07692307692307693,0.0,0.0,2
Prim,0.0248866059490859,0.6546911740174179,0.0010946349807254415,13,0.7252831849279067,20.054539680480957,0.7272727272727273,1.0,0.3333333333333333,0.0,0.2857142857142857,0.0,3
Kruskal,0.044382999037638114,0.8238529263384716,0.007067878090345572,7,0.6784923416842547,30.205192804336548,0.6363636363636364,1.0,0.2222222222222222,0.38461538461538464,0.0,0.0,4
GPrim,0.00032068998928855925,0.5358923243183457,0.048486056073236285,20,0.8839330685425641,24.17481565475464,0.9090909090909091,1.0,0.8888888888888888,0.5384615384615384,0.5714285714285714,0.0,5
