models,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.8400136832109798,0.01657450887711757,10.6,0.7851920281454059,330.7057142496109,0.0,0.5839285714285715,0.17243867243867242,0.0,0.0,0.0,0.9
Prufer,0.9624348399999623,0.01136896900761225,4.4,0.49267964326667346,57.27872495651245,0.07183372183372182,0.0,0.0,0.0,0.0,0.0,0.1
NetKeys,0.9547518266633176,0.012580832604853317,9.2,0.6775418928406396,126.14646530151367,0.5272960372960374,0.9666666666666668,0.0,0.07222222222222222,0.0,0.0,2.1
Prim,0.9664541985157168,0.01207429570089021,6.4,0.6235190655564915,65.50775072574615,0.5201787101787101,1.0,0.4800324675324676,0.0,0.2483333333333333,0.0,3.2
Kruskal,0.9640192527659547,0.015834588269887824,7.0,0.6285606335597386,80.89507117271424,0.5298912198912198,1.0,0.6036588411588412,0.39841269841269844,0.0,0.0,3.5
GPrim,0.775860868292909,0.00134842782439237,43.6,0.8698008411283545,118.88881778717041,1.0,1.0,1.0,1.0,1.0,0.0,5.0
