models,igd,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.0542714745412237,0.8721981563778379,0.04262647110663663,5,0.13533596957343014,12.729021072387695,0.0,0.0,0.0,0.0,0.0,0
B,0.038073286313747144,0.7570590064870272,0.021196575980290632,10,0.2751837299693892,23.792890787124634,1.0,0.0,0.16666666666666666,0.2222222222222222,0.0,1
C,0.039303686139527144,0.6822217572452308,0.00015553767118397813,12,0.2833404458530062,18.368233680725098,1.0,0.7,0.0,0.2222222222222222,0.0,3
D,0.044973841399348666,0.7692056797670278,0.00038834252102920493,9,0.2125838452375432,20.72330403327942,1.0,0.7,0.08333333333333333,0.0,0.0,2
E,0.016973675756662834,0.6434386384163272,0.11770326895203068,20,0.8069180999461663,25.745951652526855,1.0,1.0,0.5,0.6666666666666666,0.0,4
