models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.8978632490737273,1.0131505469903892,4.9,0.03458245304422549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.8232845063859557,0.10007271670156367,8.8,0.04409168484704764,1.0,0.0,0.5718964368964369,0.3193581418581419,0.0,0.0,2.0
C,0.805588126081161,0.13872461399920627,9.4,0.04633482493746724,1.0,0.2232756132756133,0.0,0.1665950715950716,0.0047619047619047615,0.004,1.4
D,0.7429426351367034,0.2020811041271357,11.8,0.06867837207944258,1.0,0.4145743145743145,0.5789216339216339,0.0,0.017407773386034255,0.004347826086956522,2.5
E,0.45762207474617406,0.06458801814889815,22.7,0.2097599394116723,1.0,0.9777777777777779,0.990909090909091,0.9612662337662338,0.0,0.2820434782608695,4.3
F,0.4349682449812068,0.08398754353188763,23.4,0.2188950852191573,1.0,1.0,0.990909090909091,0.99,0.5381877180790224,0.0,4.7
