models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_guided prim,score
netkeys,7.825104478461261e-07,0.0008385030866172007,4,0.0,0.0,0.5,0.0,0
kruskal,0.0,0.0,2,1.0,0.0,0.5,0.0,2
prim,0.0,0.0,2,0.75,0.0,0.0,0.0,1
guided prim,1.3123223823408026e-05,0.003212461533357791,4,1.0,1.0,1.0,0.0,3
