models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.946803824832797,0.009145865581650644,9,0.7354791448608516,62.634398460388184,0.0,0.25,0.09090909090909091,0.0,0.0,0
NetKeys,0.928594669357477,0.016885765607389427,12,0.7841965930042115,125.8624677658081,0.7777777777777778,0.0,0.09090909090909091,0.18181818181818182,0.0,1
Prim,0.9413926487398403,0.011221719318808873,11,0.7200785323951897,68.59510946273804,0.7777777777777778,0.5833333333333334,0.0,0.18181818181818182,0.0,2
Kruskal,0.943125156080378,0.006054597391044806,11,0.8598157990647233,83.57387852668762,0.6666666666666666,0.75,0.2727272727272727,0.0,0.0,3
GPrim,0.7785320392559989,0.026571240367355385,70,0.9661626902973479,98.69155216217041,1.0,1.0,1.0,1.0,0.0,4
