models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9893871933197651,0.02562072863381594,5,0.49768336670784497,563.1896483898163,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.955052832937907,0.004087479434823938,9,0.5568468359869497,1402.9841647148132,0.8,0.0,0.0,0.0,0.0,1
Prim,0.9813051625618238,0.017029102098783458,3,0.5560940245315461,283.0465204715729,1.0,0.8888888888888888,0.0,0.0,0.0,2
Kruskal,0.9937778620859592,0.0,2,0.6265294895951714,458.6214818954468,0.2,0.5555555555555556,0.0,0.0,0.0,2
GPrim,0.9345854872377704,0.004214634733704201,21,0.7692794123148534,545.9087743759155,1.0,1.0,1.0,1.0,0.0,4
