Instance,1.6.6.0.4.0_0.05-mean,1.6.6.0.4.0_0.05-std,1.6.6.0.4.1_0.1-mean,1.6.6.0.4.1_0.1-std,1.6.6.0.4.2_0.15-mean,1.6.6.0.4.2_0.15-std,1.6.6.0.4.3_0.2-mean,1.6.6.0.4.3_0.2-std,1.6.6.0.4.4_0.3-mean,1.6.6.0.4.4_0.3-std,1.6.6.0.4.5_0.4-mean,1.6.6.0.4.5_0.4-std,1.6.6.0.4.6_0.5-mean,1.6.6.0.4.6_0.5-std
small_ga-dem1_r25_1_0,\textbf{6.3},1.6,\textbf{6.3},1.6,6.1,1.3,6.2,1.5,\textbf{6.3},1.6,6.1,1.3,\textbf{6.3},1.8
small_ga-dem4_r25_1_40,4.8,1.2,4.8,1.2,\textbf{4.9},1.4,4.8,1.2,4.7,1.3,4.7,1.3,4.6,1.2
small_no-dem2_r25_1_40,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1,\textbf{4.3},1
small_no-dem3_r25_1_0,5.5,1.1,5.5,1.1,5.5,1.1,5.5,1.1,5.5,1.1,5.5,1.1,\textbf{5.6},1.2
small_uu-dem4_r25_1_0,4,1.3,4.1,1.1,4.1,1.1,\textbf{4.2},1.1,\textbf{4.2},1.1,3.9,1.1,4,1
