Instance,onvg_1.6.6.0.4.0_0.05,onvg_1.6.6.0.4.1_0.1,onvg_1.6.6.0.4.2_0.15,onvg_1.6.6.0.4.3_0.2,onvg_1.6.6.0.4.4_0.3,onvg_1.6.6.0.4.5_0.4,onvg_1.6.6.0.4.6_0.5,onvg_1.6.6.0.4.7_0.6,delta_1.6.6.0.4.0_0.05,delta_1.6.6.0.4.1_0.1,delta_1.6.6.0.4.2_0.15,delta_1.6.6.0.4.3_0.2,delta_1.6.6.0.4.4_0.3,delta_1.6.6.0.4.5_0.4,delta_1.6.6.0.4.6_0.5,delta_1.6.6.0.4.7_0.6,hypervolume_1.6.6.0.4.0_0.05,hypervolume_1.6.6.0.4.1_0.1,hypervolume_1.6.6.0.4.2_0.15,hypervolume_1.6.6.0.4.3_0.2,hypervolume_1.6.6.0.4.4_0.3,hypervolume_1.6.6.0.4.5_0.4,hypervolume_1.6.6.0.4.6_0.5,hypervolume_1.6.6.0.4.7_0.6
small_ga-dem1_r25_1_0,$6.3 \pm 1.55$,$6.3 \pm 1.55$,$6.1 \pm 1.3$,$6.2 \pm 1.47$,$6.3 \pm 1.55$,$6.1 \pm 1.3$,$6.3 \pm 1.79$,$6.3 \pm 1.79$,$0.875 \pm 0.041$,$0.875 \pm 0.041$,$0.88 \pm 0.0331$,$0.877 \pm 0.0406$,$0.875 \pm 0.041$,$0.879 \pm 0.0335$,$0.868 \pm 0.0494$,$0.87 \pm 0.0384$,$0.0392 \pm 0.0112$,$0.0392 \pm 0.0113$,$0.0377 \pm 0.00926$,$0.039 \pm 0.011$,$0.0392 \pm 0.0112$,$0.0385 \pm 0.0103$,$0.0401 \pm 0.0119$,$0.0398 \pm 0.0108$
small_ga-dem4_r25_1_40,$4.8 \pm 1.25$,$4.8 \pm 1.25$,$4.9 \pm 1.37$,$4.8 \pm 1.25$,$4.7 \pm 1.27$,$4.7 \pm 1.27$,$4.6 \pm 1.2$,$4.7 \pm 1.27$,$0.906 \pm 0.0373$,$0.906 \pm 0.0373$,$0.902 \pm 0.0413$,$0.906 \pm 0.0373$,$0.911 \pm 0.0323$,$0.911 \pm 0.0323$,$0.916 \pm 0.0316$,$0.911 \pm 0.0323$,$0.0905 \pm 0.0239$,$0.0902 \pm 0.0241$,$0.091 \pm 0.0264$,$0.0918 \pm 0.0251$,$0.0882 \pm 0.0241$,$0.0884 \pm 0.0257$,$0.0914 \pm 0.0253$,$0.0897 \pm 0.0262$
small_no-dem2_r25_1_40,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$4.3 \pm 1$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.904 \pm 0.035$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.905 \pm 0.0354$,$0.0664 \pm 0.0142$,$0.0662 \pm 0.0156$,$0.0664 \pm 0.0146$,$0.0658 \pm 0.0146$,$0.0665 \pm 0.0147$,$0.0668 \pm 0.0147$,$0.067 \pm 0.0149$,$0.0664 \pm 0.0149$
small_no-dem3_r25_1_0,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.5 \pm 1.12$,$5.6 \pm 1.2$,$5.3 \pm 1.1$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.882 \pm 0.0261$,$0.881 \pm 0.0276$,$0.889 \pm 0.0258$,$0.0343 \pm 0.00967$,$0.0343 \pm 0.00969$,$0.0343 \pm 0.00967$,$0.0343 \pm 0.00971$,$0.0344 \pm 0.00975$,$0.0341 \pm 0.0096$,$0.0343 \pm 0.00972$,$0.0327 \pm 0.00976$
small_uu-dem4_r25_1_0,$4 \pm 1.26$,$4.1 \pm 1.14$,$4.1 \pm 1.14$,$4.2 \pm 1.08$,$4.2 \pm 1.08$,$3.9 \pm 1.14$,$4 \pm 1$,$4 \pm 0.894$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.909 \pm 0.0335$,$0.91 \pm 0.0313$,$0.91 \pm 0.0313$,$0.916 \pm 0.0322$,$0.0262 \pm 0.00798$,$0.0265 \pm 0.00772$,$0.0265 \pm 0.00772$,$0.027 \pm 0.00762$,$0.0269 \pm 0.00761$,$0.025 \pm 0.00861$,$0.0262 \pm 0.00709$,$0.027 \pm 0.0076$
