Instance,1.6.6.0.4.0_0.05-mean,1.6.6.0.4.0_0.05-std,1.6.6.0.4.1_0.1-mean,1.6.6.0.4.1_0.1-std,1.6.6.0.4.2_0.15-mean,1.6.6.0.4.2_0.15-std,1.6.6.0.4.3_0.2-mean,1.6.6.0.4.3_0.2-std,1.6.6.0.4.4_0.3-mean,1.6.6.0.4.4_0.3-std,1.6.6.0.4.5_0.4-mean,1.6.6.0.4.5_0.4-std,1.6.6.0.4.6_0.5-mean,1.6.6.0.4.6_0.5-std
small_ga-dem1_r25_1_0,0.0392,0.011,0.0392,0.011,0.0377,9.3e-03,0.039,0.011,0.0392,0.011,0.0385,0.01,\textbf{0.0401},0.012
small_ga-dem4_r25_1_40,0.0905,0.024,0.0902,0.024,0.091,0.026,\textbf{0.0918},0.025,0.0882,0.024,0.0884,0.026,0.0914,0.025
small_no-dem2_r25_1_40,0.0664,0.014,0.0662,0.016,0.0664,0.015,0.0658,0.015,0.0665,0.015,0.0668,0.015,\textbf{0.067},0.015
small_no-dem3_r25_1_0,0.0343,9.7e-03,0.0343,9.7e-03,0.0343,9.7e-03,0.0343,9.7e-03,\textbf{0.0344},9.7e-03,0.0341,9.6e-03,0.0343,9.7e-03
small_uu-dem4_r25_1_0,0.0262,8.0e-03,0.0265,7.7e-03,0.0265,7.7e-03,\textbf{0.027},7.6e-03,0.0269,7.6e-03,0.025,8.6e-03,0.0262,7.1e-03
