models,igd,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.04387997940888598,0.7821349514234149,0.02252626814822787,9,0.8415702223925381,37.74438261985779,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0
Prufer,0.03188292849688952,0.772762184208288,0.017404299727722568,9,0.7198833429390656,19.728384017944336,0.4444444444444444,0.0,0.14285714285714285,0.0,0.1111111111111111,0.0,1
NetKeys,0.04201837505726656,0.8344988493812413,0.017857702713238253,7,0.7238961736913194,24.80865979194641,0.6666666666666666,0.4444444444444444,0.0,0.2727272727272727,0.2222222222222222,0.0,2
Prim,0.029604358189148867,0.7124935942600281,0.0010025544965255066,11,0.7242280471122282,16.993863344192505,0.6666666666666666,0.7777777777777778,0.5714285714285714,0.0,0.2222222222222222,0.05,4
Kruskal,0.029902695162773628,0.7895254445597507,0.017413977203958923,9,0.6776209716129409,21.406066179275513,0.5555555555555556,0.5555555555555556,0.2857142857142857,0.18181818181818182,0.0,0.0,3
GPrim,0.0002178744761743487,0.5361159604295899,0.04907082944007502,20,0.8839825554487339,23.250372409820557,0.8888888888888888,1.0,1.0,0.36363636363636365,0.4444444444444444,0.0,5
