models,delta,spacing,nds,c_netkeys,c_prim,c_kruskal,c_guided prim,score
netkeys,0.4687499991886672,0.6667124422737207,9.5,0.0,0.16666666666666666,0.12698412698412698,0.0,0.5
prim,0.546122428832248,0.25834811011022957,7.0,0.48888888888888893,0.0,0.40476190476190477,0.041666666666666664,1.0
kruskal,0.5208332916849944,0.5445870132449492,8.0,0.5277777777777778,0.4583333333333333,0.0,0.08333333333333333,1.5
guided prim,0.4499915897582,0.14453893090005573,10.0,0.8888888888888888,0.8125,0.7063492063492063,0.0,3.0
