models,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.8501046361640635,0.00696803343884195,7,0.8969287745337272,342.4542918205261,0.0,0.2222222222222222,0.0,0.5,0.0,0.0,1
Prufer,0.9527193437836726,0.01404477997546402,9,0.7163100025445932,123.29664373397827,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,1
NetKeys,0.9632432063554073,0.002123057305277025,8,0.7703699383635695,135.00380063056946,0.5714285714285714,1.0,0.0,1.0,0.25,0.0,4
Prim,0.9830224213207116,0.004938149900685658,4,0.7641437656968411,105.52155876159668,0.42857142857142855,0.7777777777777778,0.0,0.0,0.0,0.0,1
Kruskal,0.9782470121110657,0.02652758167926929,4,0.8033494035508052,120.60920715332031,0.5714285714285714,0.7777777777777778,0.0,0.5,0.0,0.0,3
GPrim,0.9641037228230295,0.04580844888327705,24,0.9597109219611061,183.50582242012024,1.0,1.0,1.0,1.0,1.0,0.0,5
