Instance,A-mean,A-std,B-mean,B-std,C-mean,C-std,D-mean,D-std,E-mean,E-std
NIn7,0.8883679855033156,0.02038103105404675,0.8614827918718732,0.03921591974175308,0.8435720743966689,0.01792980375013441,0.8249330597257482,0.023890703727207942,0.7940485362252974,0.005553715620270453
NIn8,0.8804755240034206,0.041140729527042945,0.960209163390884,0.06401427532825865,0.9400660537210674,0.0741318022931452,0.910553416006087,0.07535922759770658,0.8589370935092905,0.0020818144235845468
NIn9,0.915069199954444,0.031434706322508346,0.8700714396143352,0.026399590222365463,0.8834826767615471,0.0176791584800995,0.858502554645532,0.016829409008375148,0.8093749104785483,0.0674035100401452
NIn10,0.8673466659977004,0.035429460893399885,0.955541274775145,0.023601886487192747,0.9226364868114368,0.027411922980666106,0.9416268401038839,0.035721529436924075,0.9178543838640385,0.03480502527370705
NIn11,0.9525450862611857,0.011745436355640923,0.9451288785176514,0.010741948499003602,0.9423394366330514,0.00787402695982323,0.8958997986430365,0.021420207525699772,0.9272439039404483,0.014211322769893472
NIn12,0.9449008050157195,0.028047348169840208,0.9663438784277559,0.04632741061856843,0.9713938901201666,0.022523917471133355,0.9720000027413163,0.045534771639975866,0.923656735787221,0.02214154151745127
NIn13,0.9487957510346428,0.01856040311534824,0.9512181659925261,0.013496994279595902,0.9510736101453905,0.011591776067166737,0.9045705053160429,0.026250056356919734,0.9414024948862381,0.01372581565604634
NIn14,0.9463844601305629,0.023192374079816704,0.9747851166473627,0.015015145989062695,0.9665643316965188,0.010770975592828172,0.967081528684469,0.009592057733900384,1.0861182333337491,0.0042852580536224105
NIn15,0.974357908168886,0.009744720638566063,0.9411540192749964,0.031645097540290414,0.9724333853365964,0.00757980507324405,0.94772964899625,0.012900425118193016,0.7503399835083805,0.017580040007357998
NIn16,0.9679074176917956,0.011491773547748047,0.9813343299101854,0.01717172019433318,0.9844154958984921,0.00887420132923309,0.966956866688849,0.011591168553657459,0.9431102912827585,0.008290798881749314
NIn17,0.9653333172118371,0.011416528039368122,0.9453496807513743,0.03514801376858785,0.9752496087151361,0.010168471393812457,0.9525738141578921,0.018222918165547376,0.7634355006356219,0.008092585416646966
NIn18,0.9619693743410196,0.016293035047269165,0.9703530447437677,0.032519341161942376,0.9669561298881533,0.01760401737848954,0.9758893737265286,0.011924833135618262,0.935527988636457,0.010835672610731581
