Instance,HMOEA-mean,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,85.91598258018493,27.8520165681839,39.47379648685455,29.66539704799652,34.54053609371185,42.17617568969727
NIn8,36.476081657409665,22.917170000076293,23.99161913394928,28.914633369445802,32.11893360614776,40.59810559749603
NIn9,342.2064859867096,63.00632438659668,129.30300481319426,68.19781286716461,84.39708096981049,98.81164917945861
NIn10,293.8437668800354,58.97808756828308,114.42991676330567,70.81460230350494,81.60631577968597,98.2248466014862
NIn11,3921.2547718286514,235.78756511211395,1151.2530739068984,194.95307490825653,338.0289265632629,249.02925643920898
NIn12,1060.3150654792785,131.49927694797515,379.16492121219636,158.2687974214554,199.3875314950943,215.1283394575119
NIn13,117.89916369915008,36.010286355018614,55.90599319934845,43.08456645011902,44.535605216026305,76.32763874530792
NIn14,101.25947632789612,37.50944278240204,50.54341588020325,41.9386825799942,46.49957699775696,73.63233926296235
NIn15,365.8286792755127,110.08387441635132,154.9066890001297,106.92030797004699,119.81589236259461,227.81927664279937
NIn16,332.6222358942032,125.80554530620574,134.43013746738433,106.33794314861298,115.9059960603714,178.15996417999267
NIn17,4303.059366345406,594.5723104476929,1386.8651632785798,287.1836401939392,436.7726381063461,459.84431822299956
NIn18,4427.123068809509,639.5040830373764,1493.7188835144043,297.5286243200302,462.97092678546903,478.1753350496292
