models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9762385049998218,0.009347482103917065,5,0.6454194560863245,236.85945105552673,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9663827984260742,0.004956530635337448,6,0.7665321752350805,507.4660949707031,1.0,0.0,0.0,0.0,0.0,1
Prim,0.9829304891707371,0.0003599081528200509,4,0.7282424336861806,222.67343974113464,1.0,0.5,0.0,0.0,0.0,2
Kruskal,1.0,inf,1,0.8211440830298038,262.73350501060486,0.6,0.0,0.0,0.0,0.0,1
GPrim,0.952419938775977,0.014513509212098827,13,0.976711293048712,450.30916571617126,1.0,1.0,1.0,1.0,0.0,4
