models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.038299495060369934,0.8174505508793312,0.08389358560923436,9,0.29347952625934487,0.0,0.0,0.0,0.0,0.0,0
B,0.03423346543155733,0.6816368560220187,0.01973268481022345,12,0.31371527056187065,1.0,0.0,0.2,0.2,0.0,1
C,0.040918436603898566,0.7386416388770184,0.020254850281951186,10,0.25050719964538654,1.0,0.3333333333333333,0.0,0.4,0.0,3
D,0.043601799970439274,0.7224979569518394,0.02590580089976337,10,0.284601321813719,1.0,0.5,0.3,0.0,0.0,2
E,0.016877268613558236,0.6435390021601118,0.11751921602596678,20,0.8063536369297782,1.0,0.5833333333333334,0.5,0.8,0.0,4
