models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.9658119647075489,2.499938440302842,4,0.031490257686887194,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.7891738055219574,5.615849197704547e-05,10,0.04354588196353152,1.0,0.0,0.5714285714285714,0.42857142857142855,0.045454545454545456,0.0,3
C,0.8632478725484022,0.3779639591952768,7,0.0314631543388152,1.0,0.3,0.0,0.35714285714285715,0.0,0.0,1
D,0.6666667258262331,0.0003444806733712365,14,0.08413983011259608,1.0,0.4,0.42857142857142855,0.0,0.0,0.045454545454545456,2
E,0.4615386031268614,0.0002586637218334345,22,0.13282473794737126,1.0,0.9,1.0,1.0,0.0,0.2727272727272727,4
F,0.4615390756351053,0.0008638484738192938,22,0.20612189131692846,1.0,1.0,1.0,0.9285714285714286,0.5454545454545454,0.0,5
