models,delta,spacing,nds,c_1.2.5.0.0,c_1.2.5.0.1,c_1.2.5.0.2,c_1.2.5.0.3,c_1.2.5.0.4,c_1.2.5.0.5,score
1.2.5.0.0,0.8799999898005474,1.0953620825452832,6,0.0,0.6,0.2,0.0,0.2857142857142857,0.2,1
1.2.5.0.1,0.49999987579006305,0.5469982502406296,5,0.3333333333333333,0.0,0.2,0.3333333333333333,0.0,0.0,0
1.2.5.0.2,0.50000000740891,0.8367711935556182,5,0.3333333333333333,0.4,0.0,0.3333333333333333,0.42857142857142855,0.4,5
1.2.5.0.3,0.8799999898005474,1.0953620825452832,6,0.0,0.6,0.2,0.0,0.2857142857142857,0.2,1
1.2.5.0.4,0.8333332613539813,0.48795434108985797,7,0.6666666666666666,0.6,0.4,0.6666666666666666,0.0,0.4,4
1.2.5.0.5,0.37499999485885216,0.5476791744449139,5,0.5,0.4,0.2,0.5,0.0,0.0,3
