models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.8803418837923281,2.362784246507765,4,0.0408568595633605,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.8388278506104074,7.060062756041208e-05,8,0.038276079404479565,1.0,0.0,0.42857142857142855,0.125,0.0,0.0,1
C,0.8632478744624622,0.37800761159429075,7,0.03646737860709648,1.0,0.5,0.0,0.125,0.0,0.0,2
D,0.8424908539250968,0.35352598457964707,8,0.044594664844217285,1.0,0.75,0.7142857142857143,0.0,0.043478260869565216,0.0,3
E,0.4359020087910005,0.0008770584608505412,23,0.21700394442668694,1.0,1.0,1.0,0.875,0.0,0.041666666666666664,4
F,0.4102595817026954,0.0008508335638545992,24,0.21961287157454276,1.0,1.0,1.0,1.0,0.9130434782608695,0.0,5
