models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.8728663654897629,0.007917988877711885,7,0.6433388397212846,123.78226137161255,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9709185470389705,0.017328968848699538,5,0.7086786466636428,129.94495105743408,1.0,0.0,0.8,0.5,0.0,3
Prim,0.9615283775025162,0.03031126136329894,5,0.675134349202768,108.42502737045288,1.0,0.0,0.0,0.16666666666666666,0.0,2
Kruskal,0.8962231731067809,0.02768845207126448,6,0.7086363028226694,116.48401880264282,0.8571428571428571,0.0,0.0,0.0,0.0,1
GPrim,1.125331102937728,0.2218156585469103,24,3.1706786523376596,173.98682355880737,1.0,1.0,1.0,1.0,0.0,4
