models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.7371518751504967,0.7435087795302346,0.26371044218117157,5.6,0.01459298379589562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.6275116887259415,0.49078982020807516,0.06120718204322654,10.9,0.02797170442757212,1.0,0.0,0.1594272394272394,0.273982683982684,0.06000000000000001,0.034999999999999996,1.5
C,0.3437964619328775,0.38595268838040686,6.42286351945876e-05,13.0,0.026556655493723498,1.0,0.42515873015873007,0.0,0.2906493506493507,0.034999999999999996,0.02,2.5
D,0.42142962193568456,0.37251468777185004,0.03178842087346894,13.0,0.03104000435854823,1.0,0.45053724053724054,0.27773934398934397,0.0,0.045000000000000005,0.045,2.2
E,4.3403008705785134e-05,6.477596626010034e-06,0.0004577690363317975,20.0,0.06289172503931219,1.0,0.7366239316239316,0.42552988677988673,0.5803463203463204,0.0,0.07499999999999998,4.0
F,4.3164255597989174e-05,6.5468906072781845e-06,0.00045843200021349203,20.0,0.06290101559209056,1.0,0.7697008547008546,0.47851731601731606,0.6070129870129871,0.29,0.0,4.7
