models,delta,spacing,onvg,hypervolume,c_1.6.2.0.0.1,c_1.6.2.0.1.1,c_1.6.2.0.2.1,c_1.6.2.0.3.1,c_1.6.2.0.4.1,c_1.6.2.0.5.1,score
1.6.2.0.0.1,0.7435897666304551,0.0001292664697312261,11,0.05051067089152372,0.0,0.7,0.25,0.0,0.2,0.0,1
1.6.2.0.1.1,0.76923079059311,2.0451196822893153e-05,10,0.039453435481987126,0.2727272727272727,0.0,0.0,0.0,0.2,0.0,0
1.6.2.0.2.1,0.838827852532306,0.000142844692256917,8,0.04580920339339914,0.45454545454545453,0.7,0.0,0.125,0.5,0.1,3
1.6.2.0.3.1,0.8388278517242497,0.00018018705363515133,8,0.04803485661114777,0.8181818181818182,0.9,0.75,0.0,0.9,0.4,5
1.6.2.0.4.1,0.7692307918002009,8.299177000445258e-05,10,0.048753679119638536,0.6363636363636364,0.8,0.25,0.0,0.0,0.0,2
1.6.2.0.5.1,0.7692308027511182,0.0003624554340479564,10,0.07084835968264236,0.5454545454545454,0.8,0.875,0.25,0.8,0.0,4
