models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_guided prim,score
netkeys,0.1652892542288945,0.00011086383816995126,12,0.0,0.42857142857142855,0.1111111111111111,0.0,1
kruskal,0.14201183142292745,0.0001567644778730703,14,0.4166666666666667,0.0,0.2222222222222222,0.05,0
prim,0.6250000007786385,0.3333616909761489,9,0.5,0.35714285714285715,0.0,0.0,2
guided prim,1.1018631719320195e-07,0.00033023712768703303,20,1.0,0.9285714285714286,0.8888888888888888,0.0,3
